"mc" "DomainDisinhibition" "Distractivility"
"1" 0.616250930752048 1.26190476190476 2.33333333333333
"2" 0.614329268292683 0.698412698412698 0.666666666666667
"3" 0.598642800944138 0.187830687830688 0.111111111111111
"4" 0.645955882352941 1.06084656084656 1.11111111111111
"5" 0.592794302471722 0.645502645502645 0.555555555555556
"6" 0.572434413580247 0.968253968253968 1
"7" 0.673897058823529 0.664021164021164 1.11111111111111
"8" 0.756708407871199 0.722222222222222 0.666666666666667
"9" 0.54717167721519 1.33862433862434 2.11111111111111
"10" 0.703691123188406 0.288359788359788 0.222222222222222
"11" 0.588700670141474 1.13492063492063 2.33333333333333
"12" 0.745239020598523 1.35449735449735 2.44444444444444
"13" 0.680081300813008 0.26984126984127 0
"14" 0.610051140833989 0.428571428571429 0.666666666666667
"15" 0.594432773109244 0.576719576719577 1.44444444444444
"16" 0.540220498162515 1.14021164021164 1.77777777777778
"17" 0.681298489179257 1.71428571428571 2
"18" 0.507604166666667 1.00529100529101 1.44444444444444
"19" 0.581481481481481 0.177248677248677 0.222222222222222
"20" 0.608641975308642 0.510582010582011 1.22222222222222
"21" 0.697115384615385 1.11111111111111 0.666666666666667
"22" 0.555188495919161 0.724867724867725 0.888888888888889
"23" 0.61941251596424 0.761904761904762 1.33333333333333
"24" 0.600019669551534 0.465608465608466 0.777777777777778
"25" 0.576521739130435 0.984126984126984 1.66666666666667
"26" 0.556021341463415 0.714285714285714 0
"27" 0.63891006097561 1.13756613756614 1.88888888888889
"28" 0.701003928415539 0.706349206349206 1.66666666666667
"29" 0.753882915173238 1.54497354497355 2.44444444444444
"30" 0.546815889029004 1.89417989417989 2.44444444444444
"31" 0.606627906976744 0.28042328042328 0.222222222222222
"32" 0.530187074829932 1.58465608465608 2.11111111111111
"33" 0.619791666666667 0.965608465608466 2.44444444444444
"34" 0.661740558292282 1.21957671957672 1.77777777777778
"35" 0.624593495934959 0.671957671957672 0.111111111111111
"36" 0.650040064102564 1.10846560846561 0.444444444444444
"37" 0.506810897435897 0.661375661375661 1.22222222222222
